,combination,extinction_size,wv,wy
302,BY_y_cv0.04_cy0.18,68.66590327499561,0.04,0.18
303,BY_y_cv0.04_cy0.19,69.74990056912628,0.04,0.19
304,BY_y_cv0.04_cy0.20,70.8802536980711,0.04,0.2
305,BY_y_cv0.04_cy0.21,72.05936973301087,0.04,0.21
306,BY_y_cv0.04_cy0.22,73.31491285773863,0.04,0.22
307,BY_y_cv0.04_cy0.23,74.62755021539215,0.04,0.23
308,BY_y_cv0.04_cy0.24,76.02263434986071,0.04,0.24
309,BY_y_cv0.04_cy0.25,77.48969973598543,0.04,0.25
310,BY_y_cv0.04_cy0.26,79.05015041711104,0.04,0.26
311,BY_y_cv0.04_cy0.27,80.70700404983691,0.04,0.27
312,BY_y_cv0.04_cy0.28,82.47022826030934,0.04,0.28
313,BY_y_cv0.04_cy0.29,84.33592218367886,0.04,0.29
314,BY_y_cv0.04_cy0.30,86.33433028410583,0.04,0.3
315,BY_y_cv0.04_cy0.31,88.46113394158,0.04,0.31
316,BY_y_cv0.04_cy0.32,90.7579818827704,0.04,0.32
317,BY_y_cv0.04_cy0.33,93.17898788964284,0.04,0.33
318,BY_y_cv0.04_cy0.34,95.82732479218468,0.04,0.34
319,BY_y_cv0.04_cy0.35,98.64059321713776,0.04,0.35
320,BY_y_cv0.04_cy0.36,101.69873451840466,0.04,0.36
321,BY_y_cv0.04_cy0.37,104.99039706095012,0.04,0.37
322,BY_y_cv0.04_cy0.38,108.56175573410891,0.04,0.38
323,BY_y_cv0.04_cy0.39,112.44238208206208,0.04,0.39
324,BY_y_cv0.04_cy0.40,116.6915657439022,0.04,0.4
325,BY_y_cv0.04_cy0.41,121.29253042537624,0.04,0.41
326,BY_y_cv0.04_cy0.42,126.35833865039189,0.04,0.42
327,BY_y_cv0.04_cy0.43,131.9170946879109,0.04,0.43
328,BY_y_cv0.04_cy0.44,138.02907768022433,0.04,0.44
329,BY_y_cv0.04_cy0.45,144.7712407201183,0.04,0.45
330,BY_y_cv0.04_cy0.46,152.31447236391472,0.04,0.46
331,BY_y_cv0.04_cy0.47,160.60631857284682,0.04,0.47
